Column,Value
EstateName,SALESIAN HOUSE OF STUDIES
EstateName,GLORY RISE
EstateName,CHEUNG HING BUILDING
EstateName,CENTRO-SOUND INDUSTRIAL BUILDING
EstateName,FUKIEN SECONDARY SCHOOL (SIU SAI WAN)
EstateName,SHAU KEI WAN EAST GOVERNMENT SECONDARY SCHOOL
EstateName,ARTVIEW COURT
EstateName,YOUTH OUTREACH JOCKEY CLUB BUILDING
EstateName,SHUE YAN UNIVERSITY
EstateName,CHAI WAN RANK & FILE MARRIED QUARTERS
EstateName,COMFORT TERRACE
EstateName,CHAI WAN POLICE MARRIED QUARTERS
EstateName,HONG KONG INSTITUTE OF VOCATIONAL EDUCATION(CHAI WAN)
EstateName,SAI WAN HO FIRE STATION
EstateName,NORTH POINT GOVERNMENT OFFICES
EstateName,KORNHILL RECREATION CLUB
EstateName,WAH HOI MANSION
EstateName,SAI WAN COURT
EstateName,ALDRICH BAY GOVERNMENT PRIMARY SCHOOL
EstateName,WOODSIDE BIODIVERSITY EDUCATION CENTRE
EstateName,GREENWOOD TERRACE
EstateName,SHANGHAI ALUMNI PRIMARY SCHOOL
EstateName,"CHINESE METHODIST SCHOOL, NORTH POINT"
EstateName,SHAUKEIWAN GOVERNMENT PRIMARY SCHOOL
EstateName,TAIKOO SHING
EstateName,NORTH POINT POLICE STATION
EstateName,PRECIOUS BLOOD SECONDARY SCHOOL
EstateName,MUNSANG COLLEGE (HONG KONG ISLAND)
EstateName,CLEMENTI SECONDARY SCHOOL
EstateName,THE H.K.ELECTRIC CO.LTD. SAI WAN HO SUBSTATION
EstateName,CHAI WAN POLICE STATION
EstateName,WSD HONG KONG REGIONAL BUILDING (HONG KONG & ISLANDS REGIONAL OFFICE)
EstateName,PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL
EstateName,LINGNAN SECONDARY SCHOOL
EstateName,SAI WAN HO AMBULANCE DEPOT
EstateName,RICA VICTORIA
EstateName,LINGNAN HANG YEE MEMORIAL SECONDARY SCHOOL
EstateName,PAMELA YOUDE NETHERSOLE EASTERN HOSPITAL
EstateName,STAR OF THE SEA CATHOLIC CHURCH
EstateName,HARMONY GARDEN
EstateName,COGNITIO COLLEGE (HK)
EstateName,QUARRY BAY MUNICIPAL SERVICES BUILDING
EstateName,PUI KIU PRIMARY SCHOOL
EstateName,KNIGHT COURT
EstateName,YAN WOO BUILDING
EstateName,SHAU KEI WAN FIRE STATION
EstateName,CHAI WAN LAUNDRY
EstateName,MAN KIU COLLEGE
EstateName,WAN TSUI ESTATE
EstateName,NORTH POINT TERRACE
EstateName,S.K.H. CHAI WAN ST. MICHAEL'S PRIMARY SCHOOL
EstateName,YIU TUNG ESTATE
EstateName,CNEC LAU WING SANG SECONDARY SCHOOL
EstateName,SHAUKEIWAN STATION BUILDING
EstateName,OI TUNG ESTATE
EstateName,TEMPO COURT
EstateName,BUDDHIST CHUNG WAH KORNHILL PRIMARY SCHOOL
EstateName,HIU TSUI COURT
EstateName,THE SALVATION ARMY ANN WYLLIE MEMORIAL SCHOOL
EstateName,PARKER PORTAL SUBSTATION
EstateName,HANG TSUI COURT
EstateName,MT PARKER LODGE
EstateName,HANKING COURT
EstateName,HING MAN ESTATE
EstateName,SIU SAI WAN ESTATE
EstateName,EVELYN TOWERS
EstateName,FORTRESS GARDEN
EstateName,HONG KONG BAPTIST CHURCH HENRIETTA SECONDARY SCHOOL
EstateName,NORTH POINT PRELIMINARY TREATMENT WORKS
EstateName,DRAINAGE SERVICES DEPARTMENT SHAU KEI WAN PRELIMINARY TREATMENT WORKS
EstateName,HENG FA CHUEN
EstateName,NORTH POINT FIRE STATION
EstateName,HOLY CROSS CATHOLIC CHURCH
EstateName,LIN TSUI ESTATE
EstateName,CANOSSA COLLEGE
EstateName,KAM PING MANSION
EstateName,FLORA GARDEN
EstateName,WESLEY COLLEGE
EstateName,HING WAH (II) ESTATE
EstateName,HARBOUR GLORY
EstateName,LEI YUE MUN PARK
EstateName,KAM HOI MANSION
EstateName,TSUI WAN ESTATE
EstateName,KOWAY COURT
EstateName,CAPE COLLINSON CREMATORIUM
EstateName,HKUGA PRIMARY SCHOOL
EstateName,ICAC
EstateName,CHAI WAN OIL DEPOT
EstateName,YUE WAN ESTATE
EstateName,HARBOUR HEIGHTS
EstateName,HENG FA CHUEN 132 KV ZONE SUBSTATION
EstateName,TRAFFIC ACCIDENT AND SHAU KEI WAN REPORTING CENTRE
EstateName,ST. MARK'S PRIMARY SCHOOL
EstateName,CITY GARDEN
EstateName,CARITAS CHAI WAN MARDEN FOUNDATION SECONDARY SCHOOL
EstateName,CHAI WAN HEALTH CENTRE
EstateName,HYATT CENTRIC VICTORIA HARBOUR HONG KONG
EstateName,SHAU KEI WAN MARKET BUILDING
EstateName,HILLTOP
EstateName,MING WAH DAI HA
EstateName,HONG KONG CHINESE WOMEN'S CLUB COLLEGE
EstateName,MOUNT PARKER LODGE
EstateName,KORNHILL GARDEN
EstateName,SHAN TSUI COURT
EstateName,LEI KING WAN
EstateName,KWONG CHIU TERRACE
EstateName,MING YUEN MANSIONS
EstateName,ROCA CENTRE
EstateName,BEDFORD GARDENS
EstateName,SHAUKIWAN CENTRE
EstateName,PROVIDENT CENTRE
EstateName,SEA VIEW ESTATE
EstateName,UNIVERSAL TOWERS
EstateName,BRAEMAR HILL MANSIONS
EstateName,KIU KWAN MANSION
EstateName,MODEL HOUSING ESTATE
EstateName,CORAL COURT
EstateName,KING'S TOWERS
EstateName,TUNG FAT BUILDING
EstateName,HEALTHY VILLAGE
EstateName,WESTLANDS COURT
EstateName,WESTLANDS GARDENS
EstateName,PARKVALE
EstateName,NAN FUNG SUN CHUEN
EstateName,KA WAI BUILDING
EstateName,FELICITY GARDEN
EstateName,FORTUNA BUILDING
EstateName,MAPLE GARDENS
EstateName,WALTON ESTATE
EstateName,YEN LOK BUILDING
EstateName,HOI KWONG COURT
EstateName,PACIFIC PALISADES
EstateName,FULL WEALTH GARDENS
EstateName,TUNG HEI COURT
EstateName,YEE TSUI COURT
EstateName,CHEERFUL GARDEN
EstateName,MING FAI BUILDING
EstateName,HING TUNG ESTATE
EstateName,TAIKOO PLACE
EstateName,GRAND PROMENADE
EstateName,FULLVIEW GARDEN
EstateName,TANNER GARDEN
EstateName,LES SAISONS
EstateName,TUNG YUK COURT
EstateName,METROPOLE BUILDING
EstateName,WINNER CENTRE
EstateName,NEW JADE GARDEN
EstateName,SUNWAY GARDENS
EstateName,EASTWAY TOWERS
EstateName,HING WAH (I) ESTATE
EstateName,SHAUKEIWAN PLAZA
EstateName,MP INDUSTRIAL CENTRE
EstateName,CONTINENTAL MANSION
EstateName,FLEUR PAVILIA
EstateName,HONG KONG SHUE YAN UNIVERSITY
EstateName,ISLAND PLACE
EstateName,BELLEVE COURT
EstateName,BRAEMAR HEIGHTS
EstateName,CARSON MANSION
EstateName,SUMMIT COURT
EstateName,BO FUNG GARDENS
EstateName,HONG WAH MANSION
EstateName,FORTRESS METRO TOWER
EstateName,ALDRICH GARDEN
EstateName,GOLDEN CASTLE MANSION
EstateName,ISLAND LODGE
EstateName,MARBLE GARDEN
EstateName,HEALTHY GARDENS
EstateName,NEPTUNE TERRACE
EstateName,CHAI WAN INDUSTRIAL CITY
EstateName,BEVERLEY HEIGHTS
EstateName,HONG TUNG ESTATE
EstateName,MAIDEN COURT
EstateName,SUN SING CENTRE
EstateName,NORTH POINT CENTRE
EstateName,ISLAND RESORT
EstateName,YAN TSUI COURT
EstateName,LOK HIN TERRACE
EstateName,PAMELA YOUDE NETHERSOLE EASTERN HOS
EstateName,PERFECT MOUNT GARDENS
EstateName,COMFORT GARDENS
EstateName,TUNG CHUN COURT
EstateName,NEWTON HARBOUR VIEW
EstateName,LE SOMMET
EstateName,TUNG YAN COURT
EstateName,THE ORCHARDS
EstateName,THE FLORIDIAN
EstateName,OXFORD COURT
